"","NCT.Number","Recruitment","Conditions","Interventions","Sponsor.Collaborators","Phases","Enrollment","Funded.Bys","Study.Type","Start.Date","Completion.Date","country","start_year","Completion_year","start_month","Completion_month","duration","ROR"
"845","NCT00004067","Active, not recruiting","Breast Cancer","Biological: herceptin|Drug: adriamycin|Drug: cyclophosphamide|Drug: taxol","NSABP Foundation Inc","Phase 3","2130","Other|NIH","Interventional","February 2000","March 2020","Canada","2000","2020","2","3","241","8.83817427385892"
"846","NCT02673918","Active, not recruiting","Breast Cancer","Other: Home-based upper-body rehabilitation with online support","University of British Columbia","NA","58","Other","Interventional","February 2016","June 2017","Denmark","2016","2017","2","6","16","3.625"
"847","NCT00002544","Completed","Breast Cancer","Drug: docetaxel|Drug: mitoxantrone hydrochloride","Arbeitsgemeinschaft fur Internistische Onkologie","Phase 3","300","Other","Interventional","May 1993","November 2002","Germany","1993","2002","5","11","114","2.63157894736842"
"848","NCT02300675","Completed","Breast Cancer","Behavioral: therapeutic education program","Institut de Cancérologie de la Loire","NA","352","Other","Interventional","May 2014","August 2017","France","2014","2017","5","8","39","9.02564102564103"
"849","NCT01091454","Active, not recruiting","Breast Cancer","Drug: brostallicin|Drug: cisplatin","Alliance for Clinical Trials in Oncology","Phase 2","48","Other|NIH","Interventional","June 2010","null","United States of America","2010","NA","6","NA","NA","NA"
"850","NCT01242449","Completed","Breast Cancer","Drug: Trastuzumab|Drug: Vinorelbine","Vejle Hospital","Phase 2","10","Other","Interventional","November 2010","October 2014","Denmark","2010","2014","11","10","47","0.212765957446809"
"851","NCT00245024","Completed","Breast Cancer","Drug: sulindac|Other: laboratory biomarker analysis","National Cancer Institute (NCI)","Phase 1","30","NIH|Other","Interventional","November 2005","January 2010","United States of America","2005","2010","11","1","50","0.6"
"852","NCT02958852","Recruiting","Breast Cancer","Drug: Letrozole|Drug: Letrozole and atorvastatin|Drug: Fulvestrant","Lund University Hospital","Phase 2","126","Other","Interventional","November 2016","April 2022","Sweden","2016","2022","11","4","65","1.93846153846154"
"853","NCT00002696","Suspended","Breast Cancer","Drug: CAF regimen|Drug: CMF regimen|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: fluorouracil|Drug: methotrexate|Procedure: adjuvant therapy|Procedure: conventional surgery|Procedure: neoadjuvant therapy|Radiation: radiation therapy","Grupo Oncologico Cooperativo del Sur","Phase 3","NA","Other","Interventional","October 1995","null","Argentina","1995","NA","10","NA","NA","NA"
"854","NCT02391194","Completed","Breast Cancer","Drug: AVB-620","Avelas Biosciences, Inc.","Phase 1","27","Industry","Interventional","April 2015","January 2017","United States of America","2015","2017","4","1","21","1.28571428571429"
"855","NCT00505271","Completed","Breast Cancer","Genetic: Rexin-G","Epeius Biotechnologies","Phase 1|Phase 2","20","Industry","Interventional","July 2007","June 2011","United States of America","2007","2011","7","6","47","0.425531914893617"
"856","NCT00897728","Unknown status","Breast Cancer","Other: laboratory biomarker analysis","Institut Curie","NA","180","Other","Observational","February 2008","null","France","2008","NA","2","NA","NA","NA"
"857","NCT01000883","Recruiting","Breast Cancer","Other: biologic sample preservation procedure|Other: laboratory biomarker analysis|Procedure: biopsy","UNC Lineberger Comprehensive Cancer Center","NA","1000","Other|NIH","Observational","December 1, 1998","November 2022","United States of America","1998","2022","12","11","287","3.48432055749129"
"858","NCT01400438","Completed","Breast Cancer","Other: questionnaires","Centre Francois Baclesse","NA","70","Other","Interventional","July 2011","September 2015","France","2011","2015","7","9","50","1.4"
"859","NCT00465673","Terminated","Breast Cancer","Drug: Liposomal Doxorubicin","Sidney Kimmel Comprehensive Cancer Center","Phase 2","2","Other|Industry","Interventional","September 2005","July 2009","Singapore","2005","2009","9","7","46","0.0434782608695652"
"860","NCT00047970","Completed","Breast Cancer","NA","National Institute of Environmental Health Sciences (NIEHS)","NA","50884","NIH","Observational","August 2003","April 2015","United States of America","2003","2015","8","4","140","363.457142857143"
"861","NCT00002460","Unknown status","Breast Cancer","Drug: goserelin acetate|Drug: tamoxifen citrate|Procedure: ablative endocrine surgery|Procedure: oophorectomy","Cancer Research UK","Phase 3","NA","Other","Interventional","September 1987","null","United Kingdom","1987","NA","9","NA","NA","NA"
"862","NCT02596867","Active, not recruiting","Breast Cancer","Drug: propanolol","Texas Tech University Health Sciences Center, El Paso","Phase 2","30","Other","Interventional","September 2015","June 2017","United States of America","2015","2017","9","6","21","1.42857142857143"
"863","NCT02882581","Recruiting","Breast Cancer","Radiation: 11C-metformin","Aarhus University Hospital","Phase 1","10","Other","Interventional","August 2016","October 2017","Denmark","2016","2017","8","10","14","0.714285714285714"
"864","NCT02394496","Recruiting","Breast Cancer","Drug: Fulvestrant|Drug: Lapatinib|Drug: Aromatase Inhibitors|Drug: Placebo Lapatinib","Consorzio Oncotech","Phase 3","396","Other","Interventional","November 2007","January 2017","Italy","2007","2017","11","1","110","3.6"
"865","NCT01504789","Active, not recruiting","Breast Cancer","Behavioral: Baseline Fitness Test|Behavioral: Questionnaires|Behavioral: Individualized Exercise Program|Behavioral: Written Materials","M.D. Anderson Cancer Center","NA","180","Other|NIH","Interventional","February 2012","February 2019","Puerto Rico","2012","2019","2","2","84","2.14285714285714"
"866","NCT00004900","Completed","Breast Cancer","Biological: filgrastim|Drug: anastrozole|Drug: carboplatin|Drug: cisplatin|Drug: cyclophosphamide|Drug: etoposide|Drug: thiotepa|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy","Hackensack University Medical Center","Phase 2","NA","Other|NIH","Interventional","October 1999","August 2004","United States of America","1999","2004","10","8","58","NA"
"867","NCT01688479","Completed","Breast Cancer","Drug: Calendula Weleda cream (Weleda AG, Sweden) contains extracts of marigold plant (Calendula Officinalis 10%), wool fat and sesame oil|Drug: Essex® cream (Schering-Plough), aqueous cream without parabens","Karolinska University Hospital","Phase 3","420","Other","Interventional","February 2011","September 2012","Sweden","2011","2012","2","9","19","22.1052631578947"
"868","NCT01728506","Unknown status","Breast Cancer","Behavioral: Weight Loss and Exercise","University of Vermont","NA","48","Other","Interventional","October 2012","July 2015","United States of America","2012","2015","10","7","33","1.45454545454545"
"869","NCT01124695","Unknown status","Breast Cancer","Drug: tamoxifen citrate|Other: laboratory biomarker analysis","Eastern Cooperative Oncology Group","Phase 2","240","Other|NIH","Interventional","September 2010","null","Peru","2010","NA","9","NA","NA","NA"
"870","NCT02559362","Active, not recruiting","Breast Cancer","Behavioral: Survey","Abramson Cancer Center of the University of Pennsylvania","NA","26","Other","Observational","April 2015","null","United States of America","2015","NA","4","NA","NA","NA"
"871","NCT00491816","Active, not recruiting","Breast Cancer","Drug: Erlotinib with neoadjuvant chemotherapy","University of Kansas Medical Center","Phase 2","32","Other|Industry","Interventional","July 2007","December 2017","United States of America","2007","2017","7","12","125","0.256"
"872","NCT00570921","Completed","Breast Cancer","Drug: Everolimus|Drug: Fulvestrant","Mara Chambers","Phase 2","33","Other|Industry","Interventional","April 2008","January 2015","United States of America","2008","2015","4","1","81","0.407407407407407"
"873","NCT03273348","Not yet recruiting","Breast Cancer","Procedure: Oncoplastic breast surgery","Assiut University","NA","30","Other","Interventional","September 28, 2017","October 28, 2019","Egypt","2017","2019","9","10","25","1.2"
"874","NCT00009997","Completed","Breast Cancer","Biological: trastuzumab|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: paclitaxel|Drug: tamoxifen citrate|Procedure: conventional surgery","New York University School of Medicine","Phase 1","NA","Other|NIH","Interventional","March 1999","null","United States of America","1999","NA","3","NA","NA","NA"
"875","NCT02111031","Withdrawn","Breast Cancer","NA","Janssen Diagnostics, LLC","NA","0","Industry|Other","Observational","January 2016","May 2017","United States of America","2016","2017","1","5","16","0"
"876","NCT01875367","Active, not recruiting","Breast Cancer","Drug: Trastuzumab subcutaneous inyection vial|Device: Trastuzumab subcutaneous device administration","Spanish Breast Cancer Research Group","Phase 3","160","Other","Interventional","September 2013","July 2018","Spain","2013","2018","9","7","58","2.75862068965517"
"877","NCT00885612","Completed","Breast Cancer","NA","AstraZeneca","NA","1114","Industry","Observational","May 2009","March 2010","South Korea","2009","2010","5","3","10","111.4"
"878","NCT00744653","Terminated","Breast Cancer","Procedure: Electrochemotherapy","Copenhagen University Hospital at Herlev","Phase 2","17","Other","Interventional","October 2008","December 2010","Denmark","2008","2010","10","12","26","0.653846153846154"
"879","NCT00694200","Terminated","Breast Cancer","Drug: Vinorelbine|Drug: Bevacizumab","Hellenic Oncology Research Group","Phase 2","13","Other","Interventional","April 2008","December 2009","Greece","2008","2009","4","12","20","0.65"
"880","NCT00005581","Unknown status","Breast Cancer","Drug: cyclophosphamide|Drug: epirubicin hydrochloride|Drug: fluorouracil|Drug: paclitaxel","IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy","Phase 3","1000","Other","Interventional","June 2000","null","Italy","2000","NA","6","NA","NA","NA"
"881","NCT00055926","Completed","Breast Cancer","Drug: CP-724,714","Jonsson Comprehensive Cancer Center","Phase 1","9","Other|NIH","Interventional","January 2003","May 2005","United States of America","2003","2005","1","5","28","0.321428571428571"
"882","NCT00477100","Recruiting","Breast Cancer","Other: Interview|Procedure: Blood and Tissue Collection","M.D. Anderson Cancer Center","NA","1200","Other","Observational","April 2007","April 2020","United Kingdom","2007","2020","4","4","156","7.69230769230769"
"883","NCT02360059","Terminated","Breast Cancer","Drug: Metformin|Other: Placebo|Behavioral: Questionnaires|Other: Sensory and Fine-Motor Tests","M.D. Anderson Cancer Center","Phase 2","1","Other","Interventional","October 2015","September 2016","United States of America","2015","2016","10","9","11","0.0909090909090909"
"884","NCT01315015","Active, not recruiting","Breast Cancer","Other: Contrast enhanced breast MRI","UMC Utrecht","Phase 4","36185","Other|Industry","Interventional","November 2011","December 2019","Netherlands","2011","2019","11","12","97","373.041237113402"
"885","NCT03132467","Recruiting","Breast Cancer","Drug: Tremelimumab|Drug: Durvalumab|Procedure: Core Breast Tumor Biopsy","M.D. Anderson Cancer Center","Early Phase 1","15","Other|Industry","Interventional","June 13, 2017","June 2019","United States of America","2017","2019","6","6","24","0.625"
"886","NCT00003953","Completed","Breast Cancer","Biological: filgrastim|Drug: CMF regimen|Drug: docetaxel|Drug: doxorubicin hydrochloride|Drug: tamoxifen citrate|Procedure: autologous bone marrow transplantation|Procedure: surgical procedure|Radiation: radiation therapy","Case Comprehensive Cancer Center","Phase 2","39","Other|NIH","Interventional","February 1999","January 2013","United States of America","1999","2013","2","1","167","0.233532934131737"
"887","NCT00623233","Completed","Breast Cancer","Drug: Gemcitabine|Drug: Bevacizumab","Eli Lilly and Company","Phase 2","52","Industry","Interventional","March 2008","January 2011","United States of America","2008","2011","3","1","34","1.52941176470588"
"888","NCT00490646","Completed","Breast Cancer","Drug: ixabepilone|Drug: docetaxel|Drug: trastuzumab","R-Pharm","Phase 2","50","Industry","Interventional","February 2008","November 2011","Turkey","2008","2011","2","11","45","1.11111111111111"
"889","NCT02551263","Active, not recruiting","Breast Cancer","Drug: Eribulin","Translational Research Informatics Center, Kobe, Hyogo, Japan","NA","120","Other","Observational","July 22, 2015","July 2020","Japan","2015","2020","7","7","60","2"
"890","NCT00629616","Unknown status","Breast Cancer","Drug: anastrozole|Drug: fulvestrant","UNICANCER","Phase 2","116","Other","Interventional","August 2007","September 2016","France","2007","2016","8","9","109","1.06422018348624"
"891","NCT02941614","Recruiting","Breast Cancer","Behavioral: Distress screening","Kaiser Permanente","NA","1200","Other","Observational","October 2, 2017","September 2019","United States of America","2017","2019","10","9","23","52.1739130434783"
"892","NCT00002967","Completed","Breast Cancer","Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: octreotide pamoate|Drug: tamoxifen citrate","NSABP Foundation Inc","Phase 3","NA","Other|NIH","Interventional","May 1997","March 2006","Canada","1997","2006","5","3","106","NA"
"893","NCT00533936","Unknown status","Breast Cancer","Biological: trastuzumab|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: fluorouracil|Drug: paclitaxel|Procedure: adjuvant therapy|Procedure: conventional surgery|Procedure: neoadjuvant therapy","Instituto Nacional de Cancerologia, Columbia","Phase 2","160","Other","Interventional","September 2006","null","Mexico","2006","NA","9","NA","NA","NA"
"894","NCT00675259","Completed","Breast Cancer","Drug: bevacizumab|Drug: carboplatin|Drug: nab-paclitaxel|Procedure: Surgery|Drug: Adjuvant chemotherapy","Ewa Mrozek","Phase 2","33","Other|Industry","Interventional","July 2008","March 2014","United States of America","2008","2014","7","3","68","0.485294117647059"
"895","NCT00002679","Completed","Breast Cancer","Biological: filgrastim|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: paclitaxel|Drug: tamoxifen citrate|Radiation: radiation therapy","Yale University","Phase 2","89","Other","Interventional","February 1994","January 2002","United States of America","1994","2002","2","1","95","0.936842105263158"
"896","NCT02712723","Recruiting","Breast Cancer","Drug: Letrozole|Drug: Ribociclib|Drug: Placebo","Qamar Khan","Phase 2","120","Other|Industry","Interventional","February 2016","April 2023","United States of America","2016","2023","2","4","86","1.3953488372093"
"897","NCT00084539","Completed","Breast Cancer","Radiation: Radiation therapy","Fox Chase Cancer Center","Phase 2","78","Other|NIH","Interventional","November 2003","null","United States of America","2003","NA","11","NA","NA","NA"
"898","NCT01629615","Completed","Breast Cancer","Drug: BKM120","SOLTI Breast Cancer Research Group","Phase 2","50","Other|Industry","Interventional","June 2012","October 2015","Spain","2012","2015","6","10","40","1.25"
"899","NCT01273415","Completed","Breast Cancer","NA","Samsung Medical Center","NA","1070","Other","Observational","August 2010","January 2011","South Korea","2010","2011","8","1","5","214"
"900","NCT00602316","Unknown status","Breast Cancer","Drug: gadolinium-chelate|Procedure: conventional surgery|Procedure: magnetic resonance imaging|Procedure: magnetic resonance spectroscopic imaging","Royal Marsden NHS Foundation Trust","NA","20","Other","Interventional","November 2007","null","United Kingdom","2007","NA","11","NA","NA","NA"
"901","NCT02948478","Recruiting","Breast Cancer","Other: Exposed|Other: Non exposed","Assistance Publique - Hôpitaux de Paris","NA","1040","Other","Observational","December 2016","October 2019","France","2016","2019","12","10","34","30.5882352941176"
"902","NCT01647607","Active, not recruiting","Breast Cancer","Behavioral: Young Women's Intervention (YWI)|Behavioral: Physical Activity Intervention (PAI)","Dana-Farber Cancer Institute","NA","610","Other","Interventional","June 2012","August 2020","United States of America","2012","2020","6","8","98","6.22448979591837"
"903","NCT01789684","Recruiting","Breast Cancer","Other: Active Provider Intervention","University of South Florida","NA","3780","Other|NIH","Interventional","February 2014","July 2019","United States of America","2014","2019","2","7","65","58.1538461538462"
"904","NCT00015886","Completed","Breast Cancer","Drug: docetaxel|Drug: fluorouracil","Wake Forest University Health Sciences","Phase 2","25","Other|NIH","Interventional","January 1997","July 2009","United States of America","1997","2009","1","7","150","0.166666666666667"
"905","NCT02802748","Recruiting","Breast Cancer","Drug: Oral Vinorelbine|Drug: Letrozole","SOLTI Breast Cancer Research Group","Early Phase 1","60","Other|Industry","Interventional","July 2016","January 2018","Spain","2016","2018","7","1","18","3.33333333333333"
"906","NCT00002864","Completed","Breast Cancer","Drug: octreotide acetate|Drug: tamoxifen citrate","NCIC Clinical Trials Group","Phase 3","667","Other","Interventional","August 1996","April 2010","Canada","1996","2010","8","4","164","4.06707317073171"
"907","NCT00005800","Completed","Breast Cancer","Biological: Filgrastim|Drug: Docetaxel|Drug: Doxorubicin|Procedure: Surgery","H. Lee Moffitt Cancer Center and Research Institute","Phase 2","45","Other|NIH|Industry","Interventional","April 1999","May 2012","United States of America","1999","2012","4","5","157","0.286624203821656"
"908","NCT00047099","Completed","Breast Cancer","Drug: cyclophosphamide|Drug: docetaxel|Drug: epirubicin hydrochloride|Drug: fluorouracil|Drug: goserelin acetate|Drug: tamoxifen citrate|Procedure: adjuvant therapy|Radiation: radiation therapy","Ludwig-Maximilians - University of Munich","Phase 3","446","Other","Interventional","August 2001","March 2012","Germany","2001","2012","8","3","127","3.51181102362205"
"909","NCT02557776","Active, not recruiting","Breast Cancer","Genetic: Germline genetic testing of BRCA1 and BRCA2","Lund University","NA","550","Other","Interventional","February 2015","March 2018","Sweden","2015","2018","2","3","37","14.8648648648649"
"910","NCT01736605","Completed","Breast Cancer","Procedure: Massage|Procedure: Massage combined with meditation","Mayo Clinic","NA","40","Other","Interventional","January 2013","October 2014","United States of America","2013","2014","1","10","21","1.9047619047619"
"911","NCT00496665","Completed","Breast Cancer","Drug: Vandetanib|Drug: Cyclophosphamide|Drug: Methotrexate","Dana-Farber Cancer Institute","Phase 1","25","Other|Industry","Interventional","July 2007","March 2009","United States of America","2007","2009","7","3","20","1.25"
"912","NCT01304797","Active, not recruiting","Breast Cancer","Drug: MM-302 Monotherapy|Drug: MM-302 in combination with trastuzumab|Drug: MM-302 in combination with trastuzumab q3w|Drug: MM-302 in combination with trastuzumab and cyclophosphamide","Merrimack Pharmaceuticals","Phase 1","75","Industry","Interventional","March 2011","January 2017","United States of America","2011","2017","3","1","70","1.07142857142857"
"913","NCT03275311","Recruiting","Breast Cancer","NA","UNICANCER","NA","30000","Other|Industry","Observational","October 27, 2014","December 2020","France","2014","2020","10","12","74","405.405405405405"
"914","NCT00003679","Unknown status","Breast Cancer","Drug: cyclophosphamide|Drug: docetaxel|Drug: doxorubicin hydrochloride|Drug: tamoxifen citrate|Procedure: conventional surgery|Radiation: radiation therapy","Scottish Cancer Therapy Network","Phase 3","350","Other","Interventional","November 1998","null","United Kingdom","1998","NA","11","NA","NA","NA"
"915","NCT00129896","Completed","Breast Cancer","Drug: Myocet|Drug: Taxotere|Drug: Herceptin","Spanish Breast Cancer Research Group","Phase 1|Phase 2","59","Other|Industry","Interventional","January 2004","December 2007","Spain","2004","2007","1","12","47","1.25531914893617"
"916","NCT01427166","Completed","Breast Cancer","Other: Non invasive venous ultrasound","Massachusetts General Hospital","NA","5","Other|NIH","Interventional","August 2011","August 2012","United States of America","2011","2012","8","8","12","0.416666666666667"
"917","NCT02366130","Recruiting","Breast Cancer","Drug: Ra-223 dichloride|Drug: Denosumab|Drug: Hormone Therapy","M.D. Anderson Cancer Center","Phase 2","36","Other|Industry","Interventional","February 2015","February 2019","United States of America","2015","2019","2","2","48","0.75"
"918","NCT00323479","Completed","Breast Cancer","Drug: Anastrozole","AstraZeneca","Phase 4","114","Industry","Interventional","June 2006","January 2009","France","2006","2009","6","1","31","3.67741935483871"
"919","NCT02249208","Unknown status","Breast Cancer","Device: Tc+blue dye|Device: Tc+SPIO|Device: SPIO alone","Hospital Universitari Vall d'Hebron Research Institute","Phase 3","150","Other|Industry","Interventional","April 2014","June 2016","Spain","2014","2016","4","6","26","5.76923076923077"
"920","NCT00059852","Completed","Breast Cancer","Drug: erlotinib hydrochloride|Drug: gemcitabine hydrochloride","Alliance for Clinical Trials in Oncology","Phase 2","61","Other|NIH","Interventional","June 2003","January 2009","United States of America","2003","2009","6","1","67","0.91044776119403"
"921","NCT02358837","Completed","Breast Cancer","NA","University Hospital, Basel, Switzerland","NA","236","Other","Observational","August 2011","January 2015","Switzerland","2011","2015","8","1","41","5.75609756097561"
"922","NCT00221221","Completed","Breast Cancer","Device: Pedometer|Device: Exercise guidebook","University of Alberta, Physical Education","Phase 2|Phase 3","300","Other","Interventional","July 2005","March 2006","Canada","2005","2006","7","3","8","37.5"
"923","NCT01801527","Completed","Breast Cancer","Behavioral: Telerehabilitation group","Universidad de Granada","NA","72","Other","Interventional","March 2012","July 2014","Spain","2012","2014","3","7","28","2.57142857142857"
"924","NCT00705315","Completed","Breast Cancer","Drug: Docetaxel|Drug: Epirubicin|Drug: Bevacizumab","Hellenic Oncology Research Group","Phase 1|Phase 2","46","Other","Interventional","May 2008","June 2010","Greece","2008","2010","5","6","25","1.84"
"925","NCT01446185","Completed","Breast Cancer","Device: Oncotype DX breast cancer test","Genomic Health®, Inc.","NA","100","Industry|Other","Interventional","January 2011","May 2012","France","2011","2012","1","5","16","6.25"
"926","NCT02966574","Not yet recruiting","Breast Cancer","Device: whole body MRI","Brugmann University Hospital","NA","50","Other","Interventional","December 2016","July 2018","Belgium","2016","2018","12","7","19","2.63157894736842"
"927","NCT00093795","Completed","Breast Cancer","Drug: Cyclophosphamide|Drug: Docetaxel|Drug: Gemcitabine|Drug: Paclitaxel|Drug: Doxorubicin","NSABP Foundation Inc","Phase 3","4894","Other|NIH","Interventional","October 2004","June 2016","United States of America","2004","2016","10","6","140","34.9571428571429"
"928","NCT02791581","Recruiting","Breast Cancer","Other: Observational|Other: Data Collection|Other: Assessments","Wake Forest University Health Sciences","NA","1000","Other","Observational","July 21, 2017","December 2019","United States of America","2017","2019","7","12","29","34.4827586206897"
"929","NCT00462696","Completed","Breast Cancer","Drug: docetaxel|Drug: epirubicin hydrochloride|Procedure: conventional surgery|Procedure: dynamic contrast-enhanced magnetic resonance imaging|Procedure: neoadjuvant therapy|Procedure: radiomammography","Institut Bergonié","NA","30","Other","Interventional","February 2006","null","France","2006","NA","2","NA","NA","NA"
"930","NCT01804309","Completed","Breast Cancer","Procedure: Sentinel lymph node biopsy (SLNB)","National Institute of Oncology, Hungary","NA","350","Other","Observational","March 2013","February 2015","Hungary","2013","2015","3","2","23","15.2173913043478"
"931","NCT01166763","Completed","Breast Cancer","Drug: vitamin D3","Carol Fabian, MD","NA","30","Other|Industry","Interventional","May 2009","June 2011","United States of America","2009","2011","5","6","25","1.2"
"932","NCT00003418","Unknown status","Breast Cancer","Drug: exemestane|Drug: tamoxifen citrate","International Collaborative Cancer Group","Phase 3","4400","Other","Interventional","February 1998","null","United Kingdom","1998","NA","2","NA","NA","NA"
"933","NCT02032823","Recruiting","Breast Cancer","Drug: Olaparib|Drug: Placebo","AstraZeneca","Phase 3","330","Industry|Other","Interventional","April 22, 2014","February 28, 2028","United Kingdom","2014","2028","4","2","166","1.98795180722892"
"934","NCT02900469","Recruiting","Breast Cancer","Biological: denosumab|Procedure: Surgery","New York University School of Medicine","Early Phase 1","35","Other","Interventional","October 2016","April 2019","United States of America","2016","2019","10","4","30","1.16666666666667"
"935","NCT02281812","Terminated","Breast Cancer","Procedure: Radiofrequency ablation","Hospital Universitari de Bellvitge","NA","40","Other","Interventional","September 2013","July 2017","Spain","2013","2017","9","7","46","0.869565217391304"
"936","NCT00027807","Completed","Breast Cancer","Biological: Aldesleukin|Biological: Sargramostim|Biological: therapeutic autologous lymphocytes","Barbara Ann Karmanos Cancer Institute","Phase 1","6","Other|NIH","Interventional","October 2001","March 2013","United States of America","2001","2013","10","3","137","0.0437956204379562"
"937","NCT01842321","Active, not recruiting","Breast Cancer","Drug: Abiraterone Acetate","UNICANCER","Phase 2","31","Other","Interventional","July 2013","July 2018","France","2013","2018","7","7","60","0.516666666666667"
"938","NCT00188721","Completed","Breast Cancer","NA","University Health Network, Toronto","NA","500","Other","Observational","July 2006","September 2009","Canada","2006","2009","7","9","38","13.1578947368421"
"939","NCT00003140","Completed","Breast Cancer","Drug: letrozole|Other: placebo","NCIC Clinical Trials Group","Phase 3","5187","Other|NIH","Interventional","August 1998","October 2003","United Kingdom","1998","2003","8","10","62","83.6612903225806"
"940","NCT03260192","Recruiting","Breast Cancer","NA","Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University","NA","50","Other","Observational","September 1, 2013","September 1, 2018","China","2013","2018","9","9","60","0.833333333333333"
"941","NCT02628132","Recruiting","Breast Cancer","Drug: Paclitaxel|Drug: Durvalumab","King Faisal Specialist Hospital & Research Center","Phase 1|Phase 2","34","Other|Industry","Interventional","July 2016","June 2018","Saudi Arabia","2016","2018","7","6","23","1.47826086956522"
"942","NCT00006121","Terminated","Breast Cancer","Drug: oxaliplatin","European Organisation for Research and Treatment of Cancer - EORTC","Phase 2","18","Other","Interventional","May 2000","null","United Kingdom","2000","NA","5","NA","NA","NA"
"943","NCT02616133","Completed","Breast Cancer","Other: chart abstraction","Duke University","NA","30","Other","Observational","January 2016","March 31, 2017","United States of America","2016","2017","1","3","14","2.14285714285714"
"944","NCT01969643","Recruiting","Breast Cancer","Drug: SGN-LIV1A|Drug: Trastuzumab","Seattle Genetics, Inc.","Phase 1","216","Industry","Interventional","September 2013","December 2019","United States of America","2013","2019","9","12","75","2.88"
"945","NCT00555386","Completed","Breast Cancer","Dietary Supplement: Soy and Selenium","University of East Anglia","NA","27","Other","Interventional","April 2007","August 2008","United Kingdom","2007","2008","4","8","16","1.6875"
"946","NCT01698918","Active, not recruiting","Breast Cancer","Drug: Everolimus|Drug: Letrozole|Drug: Exemestane|Drug: Alcohol-free dexamethasone mouth rinse","Novartis Pharmaceuticals","Phase 2","202","Industry","Interventional","March 7, 2013","June 22, 2020","United Kingdom","2013","2020","3","6","87","2.32183908045977"
"947","NCT01514565","Recruiting","Breast Cancer","NA","Thomas Jefferson University","NA","70","Other","Observational","December 2011","December 2018","United States of America","2011","2018","12","12","84","0.833333333333333"
"948","NCT00430001","Unknown status","Breast Cancer","Drug: docetaxel|Drug: vinorelbine|Drug: trastuzumab","Danish Breast Cancer Cooperative Group","Phase 3","300","Other|Industry","Interventional","May 2005","December 2008","Denmark","2005","2008","5","12","43","6.97674418604651"
"949","NCT02840344","Recruiting","Breast Cancer","Behavioral: Couples MBSR|Behavioral: Individual MBSR","University of Missouri-Columbia","NA","150","Other","Interventional","October 1, 2017","March 2018","United States of America","2017","2018","10","3","5","30"
"950","NCT02456857","Recruiting","Breast Cancer","Drug: Everolimus|Drug: Liposomal Doxorubicin|Drug: Bevacizumab","M.D. Anderson Cancer Center","Phase 2","37","Other|Industry","Interventional","January 2016","January 2019","United States of America","2016","2019","1","1","36","1.02777777777778"
"951","NCT00066573","Completed","Breast Cancer","Drug: anastrozole|Drug: exemestane","NCIC Clinical Trials Group","Phase 3","7576","Other|NIH","Interventional","June 2003","March 2011","Canada","2003","2011","6","3","93","81.4623655913979"
"952","NCT01351597","Unknown status","Breast Cancer","Drug: docetaxel/ oxaliplatin","Korean Breast Cancer Study Group","Phase 2","51","Other","Interventional","April 2011","September 2013","South Korea","2011","2013","4","9","29","1.75862068965517"
"953","NCT00542451","Active, not recruiting","Breast Cancer","Drug: Paclitaxel|Drug: Trastuzumab","Eric Winer, MD","Phase 2","420","Other|Industry","Interventional","October 2007","December 2021","United States of America","2007","2021","10","12","170","2.47058823529412"
"954","NCT01206881","Completed","Breast Cancer","Drug: pegylated liposomal doxorubicin","Herlev Hospital","Phase 2","45","Other","Interventional","March 2009","June 2011","Denmark","2009","2011","3","6","27","1.66666666666667"
"955","NCT00003352","Completed","Breast Cancer","Drug: cyclophosphamide|Drug: Taxotere|Drug: Adriamycin","NSABP Foundation Inc","Phase 2","89","Other|NIH","Interventional","June 1998","December 2002","Puerto Rico","1998","2002","6","12","54","1.64814814814815"
"956","NCT00003855","Completed","Breast Cancer","Procedure: axillary lymph node dissection|Radiation: whole breast irradiation","Alliance for Clinical Trials in Oncology","Phase 3","605","Other|NIH","Interventional","April 1999","February 2011","Ireland","1999","2011","4","2","142","4.26056338028169"
"957","NCT00630032","Active, not recruiting","Breast Cancer","Drug: cyclophosphamide|Drug: Docetaxel|Drug: epirubicin hydrochloride|Drug: fluorouracil|Drug: ixabepilone","UNICANCER","Phase 3","762","Other","Interventional","September 2007","September 2019","France","2007","2019","9","9","144","5.29166666666667"
"958","NCT00005588","Completed","Breast Cancer","Radiation: radiation therapy","Medical Research Council","Phase 3","NA","Other","Interventional","January 1999","December 2004","United Kingdom","1999","2004","1","12","71","NA"
"959","NCT00005587","Completed","Breast Cancer","Radiation: radiation therapy","Medical Research Council","Phase 3","NA","Other","Interventional","January 1999","June 2004","United Kingdom","1999","2004","1","6","65","NA"
